,,,,,mobilitaet,mobilitaet,infrastruktur,mobilitaet,mobilitaet,mobilitaet,infrastruktur,stadtbild,mobilitaet,stadtbild,wirtschaft,infrastruktur,stadtbild,mobilitaet,mobilitaet,stadtbild,stadtbild,stadtbild,mobilitaet,stadtbild,gesellschaft,politik,gesellschaft,politik,infrastruktur,stadtbild,gesellschaft,gesellschaft,gesellschaft,gesellschaft,kultur,parks,gesellschaft,parks,wirtschaft,umwelt,gesellschaft,gesellschaft,gesellschaft,gesellschaft,politik,wirtschaft,politik,gesellschaft,kultur,gesellschaft,politik,politik,politik,kultur,kultur,politik,parks,raeume,raeume,raeume,raeume,stadtbild,mobilitaet,politik,bildung
227,bessere Einsehbarkeit für Veranstaltungen,w,44,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,
227,Förderung zivilgesellschaftlichen Enganagements,w,44,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,
227,Soziales Miteinander stärken,w,44,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
228,keine Sperrstunden in den Kneipen,m,32,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,x,,,,,,,,,,
228,ÖPNV ermäßigt für Rentner,m,32,Innenstadt,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
229,Grillplatz sollten besser sauber gehalten werden,w,38,Innenstadt,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,
229,kleine regionale Läden supporten,w,38,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,
229,weniger Autos,w,38,Innenstadt,,,,,,,,,x,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,mehr Anwohnerparkplätze,w,38,Innenstadt,,,,,,,x,,x,,,,,,x,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,mehr Freizeitangebote für Kinder (Workshops und Ferienprogramm),w,36,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,x,,,,,,,,,,
230,günstigere Lebensmittel,w,36,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
230,bessere Renten,w,36,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,
230,"weniger E Scooter, weil die zu gefährlich sind (schlecht geparkt, schlecht gefahren)",w,36,Innenstadt,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,
231,größerer Strand an der Pegnitz,m,28,Südstadt,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,
232,stärkere Kulturförderung,m,20,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,
232,mehr Subkulturtreffpunkte,m,20,Innenstadt,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,x,,,,,,,
233,Pilotprojekte als Stadt der Zukunft (zB bedingungsloses Grundeinkommen),m,38,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
233,ausgebaute Straßen und mehr sanierte/im Randbereich erneuerte,m,38,Innenstadt,,,,,x,,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,bessere Verkehrsanbindungen im ÖPNV,w,27,Innenstadt,x,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,
235,verkehrsberuhigte Innenstadt,m,65,Innenstadt,,,,,,,,,x,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,autofreie Innenstadt -> Ästhetik durch autofreie Flächen,m,65,Innenstadt,,,,,,,,,x,,,,,,,x,,x,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Straßenreinigung Marienstr. / Pfisterstr.,w,65,Innenstadt,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,VHS mit Haus im eigenen Besitz (gehört aktuell der Stadt),w,65,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
238,Hornschuchpromenade mit weniger Parkplätzen,m,52,Innenstadt,,,,,,,x,,,,,,,,x,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Fußgängerfreundliche Stadt,m,52,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
238,mehr Selbstversorgung (Solawi),m,52,Innenstadt,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
238,einfachere Vernetzungsmöglichkeiten für Projekte,m,52,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,
239,Marihuana sofort legalisieren,m,30,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
239,konsequente Umsetzung von Entscheidungen in der Politik,m,30,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,
239,"transparenter und einfacher machen, vom Amt unterstützt zu werden",m,30,Innenstadt,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,
240,mehr Kulturorte,w,31,Innenstadt,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,x,,,,,,,
240,mehr Proberäume,w,31,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,x,,,,,
241,mehr kulturelle Angebote,w,24,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
241,ein paar Clubs für die jungen,w,24,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,x,x,,,x,,,,,,,
241,bezahlbare Mieten,w,24,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
241,keine Mieterhöhungen,w,24,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
242,mehr Toleranz gegenüber anderen Nationen,w,54,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,mehr Sozialwohnungen nachhaltig gebaut,w,54,Südstadt,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Tempo 30 in der Innenstadt,w,52,Innenstadt,,,,,,,,,x,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,mehr Chancengleichheit für unterschiedliche Bildungsabschlüsse,w,52,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
244,günstigere gute Lebensmittel,w,45,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,
244,Inhabergeführte Bäckerein und Läden,w,45,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,
244,weniger Verkehr in der Innenstadt,w,45,Innenstadt,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,mehr Außenmöbel - Leben auf der Straße,m,56,Südstadt,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,
246,Bausünden künstlerisch verschönern,w,67,Südstadt,,,,,,,,,,,,,x,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,mehr Sozialwohnungsangebot wie die Wärmestube,m,62,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
248,weniger Plastikverpackung,w,27,Innenstadt,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
249,mehr Aktionen in Pflegeheimen mit Kindern und Tieren,w,54,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
250,Gewachsene Kultur muss geschützt werden,m,40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,
250,verkehrsberuhigte Innenstadt,m,40,Innenstadt,,,,,,,,,x,,,,,x,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Fluss reinigen zum Baden,m,40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,
250,Stärker am Gemeinwohl orientierte Entscheidungen von der Politik,m,40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
250,Abbau bürokratischer Hürden (um Partizipation zu fördern),m,40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,
251,Einzelhandel mit nachhaltigen Produkten,w,38,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,
251,verkehrsberuhigte Innenstadt,w,38,Innenstadt,,,,,,,,,x,,,,,x,,,,x,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Shuttle Service für Veranstaltungen,w,38,Innenstadt,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,
252,Aufzüge am Hbf Fürth,w,28,Innenstadt,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
253,dezentrale Versorgung – mehr MAISCH (Anm.: der Lebensmittelladen in der Hirschenstraße 46),m,41,Innenstadt,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,
253,"mehr Gemeinschaftseigentum, -flächen",m,41,Innenstadt,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
253,mehr Jugend und Freizeitförderung,m,41,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,x,,,,,,,,,,
254,ÖPNV günstiger machen,w,44,Innenstadt,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,mehr unverpackte Lebensmittel,w,44,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,
254,Einkauf von Fahrrädern fördern,w,44,Innenstadt,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,
255,Freizeitgestaltung im öffentlichen Raum vereinfachen (mehr Bänke),w,33,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
255,mehr Grünflächen (und saubere),w,33,Südstadt,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
255,Umweltspuren für Busse,w,33,Südstadt,x,x,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,weniger Autos,w,33,Südstadt,,,,,,,,,x,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,mehr Dienstleistungen konsumieren statt Produkten,w,41,Innenstadt,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
256,kultureller Austausch fördern,w,41,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,
256,mehr Grün,w,41,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
257,Lärm reduzieren Leuchtreklame reduzieren,m,39,Innenstadt,,,,,,,,x,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Schutz gewachsener Kultur,m,39,Innenstadt,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,
257,Dope legalisieren,m,39,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
258,Universität in Fürth,m,20,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x
258,freie Büroräume/Arbeitsflächen vermieten und neue schaffen,m,20,Innenstadt,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
258,mehr Radwege als Straßen in der Innenstadt,m,20,Innenstadt,,,,x,x,x,x,,x,,,,,x,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,saubere Straßen weniger Hundekot,w,55,Südstadt,,,,,,,,,,x,,,x,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Hundeführerschein für alle,w,28,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,
261,Jugendzentrum,m,42,Innenstadt,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,x,x,,,,x,x,,x,,,,,x,,,x,x,x,x,x,,,x
261,Mehr Rücksicht auf Anwohner in Sachen Lärm/ Übersetzung kultureller Missverständnisse,m,42,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,x,,x,x,,,,,,,,,,,,,,
262,günstigere Bioprodukte,w,25,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,
262,geförderte Proberäume für Musiker,w,25,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,x,,x,x,,,,
262,kulturelles Angebot fördern,w,25,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,
262,bezahlbare Mieten,w,25,Innenstadt,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,x,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
263,mehr Bäume pflanzen,w,37,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
263,weniger Müll,w,37,Innenstadt,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,mehr Bäume pflanzen,w,73,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
264,mehr Grünflächen und Parks,w,73,Innenstadt,,,,,,,,,,,,,,,,x,,,,x,x,,,,,x,,,,,,x,,,,x,,,,,,,,,,,,,,,x,,x,,,,,,,,
264,mehr Fahrradwerkstätten,w,73,Innenstadt,,,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,x,,,,,,,,,,,,,
264,mehr Sportgeräte im Wiesengrund,w,73,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
264,bessere Fahrradwege-Infrastruktur,w,73,Innenstadt,,,,x,x,x,x,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Gustavstraße Anlieger frei,m,27,Innenstadt,,,,,,,,,x,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Fahrradweg Unterfarrnbach Würzburgerstr.,m,27,Innenstadt,,,,x,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Obstbäume im Wiesengrund,m,38,Südstadt,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,
266,mehr wilde Wiesen,m,38,Südstadt,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
267,"mehr Plätze in Kindergärten (mehr Geld, mehr Platz, mehr Personal)",w,28,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,x,,,,,x,,,,x,,,,,,,,,,,,,,
267,Ladesäulen für E- Autos,w,28,Südstadt,,,x,,,,x,,x,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,mehr Gastronomie im Südstadtpark,m,54,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,
269,Clubs und Orte zum Feiern für junge Menschen,m,21,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,x,x,,,x,,,,,,,
269,bezahlbare Parkplätze für ältere Menschen,m,21,Südstadt,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
270,verkehrsberuhigte Innenstadt,w,36,Südstadt,,,,,x,,,,x,,,,,x,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,mehr kulturelle Angebote,w,36,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
270,mehr Natur und Parks,w,36,Südstadt,,,,,,,x,,,,,,,,,,,,,x,,x,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,
271,Klimaschutz auch als Beruf,m,26,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,x
272,mehr Polizeipräsenz im Südstadtpark,w,66,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,
272,Bänke in Richtung Park drehen im Südstadtpark,w,66,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
273,liebesvolles Miteinander,w,54,Südstadt,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
273,mehr Mülleimer Südstadt,w,54,Südstadt,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,ZARA im leeren H und M Gebäude,w,21,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,
275,Café und Eisdiele Südstadtpark,w,65,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,x,,x,,,,,,,,
276,Aschenbecher im Südstadtpark,m,76,Südstadt,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
277,Für große Hunde Schleppleinenregelung in den Parks,w,56,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,
277,weniger Müll,w,56,Südstadt,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Hundeparks,w,27,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,
278,besseres Müllkonzept Südstadtpark,w,27,Südstadt,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
279,Dope legalisieren,m,32,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
279,mehr Bäume und eine grünere Stadt,m,32,Südstadt,,,,,,,,,,,,,,,,x,,,,x,,,,,,x,,,,,,x,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,
280,Unterquerung der Bahnlinie Südstadt in Richtung Innenstadt für Fußgänger und Radfahrer,m,42,Südstadt,,,,x,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
280,weniger Autos und Baustellen,m,42,Südstadt,,x,,,x,,,,x,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,bessere Zugangsmöglichkeiten zu Lokalen und Kulturorten (Gehbehinderung),w,44,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,mehr Fahrradständer und Einkaufswagenauslade-Möglichkeiten an Supermärkten,w,50,Südstadt,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
282,mehr Parkplätze in der Südstadt und Innenstadt,w,50,Südstadt,,,,,,,,,x,,,,,x,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,mehr Mülleimer Innenstadt,w,50,Südstadt,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Bauernmarkt im Südstadtpark,w,60,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,
283,bezahlbaren Wohnraum,w,60,Südstadt,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Wohnungen brauchen garantierten Parkplatz,m,31,Südstadt,,,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
284,Radwegausbau im ganzen Stadtgebiet,m,31,Südstadt,,,,x,x,x,x,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Fahrradwege Südstadt Innenstadt (Lastenräder),m,31,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
285,Abenteuerspielplatz mit kostenlosem Angebot für Kinder (Betreuung),w,50,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,x,,,,x,,,,,,,,,,,,,x,,x,,,
285,mehr Parplätze Südstadtpark,w,50,Südstadt,,,,,,,x,,,,,,,x,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,mehr kulturelles Angebot,w,50,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,
285,"Supermarktparkplätze nutzen (für Kultur, als Treffpunkte)",w,50,Südstadt,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,
286,mehr Carsharing (sollte gefördert werden),m,40,Südstadt,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
287,mobiler Biergarten im Südstadtpark (Vesper mitbringen sollte erlaubt sein),m,63,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,x,,,,,,,,
287,Caféfahrrad im Südstadtpark,m,63,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,
288,mehr Spielplätze für 1-3 jährige Kinder,m,67,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,
288,bessere Straßenreinigung (Hundekot),m,67,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,bessere Straßenreinigung Friedhof,m,67,Südstadt,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
289,Radanbindung Schwabacherstraße,w,37,Südstadt,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,mehr Mülleimer und neue Müllkonzepte,w,37,Südstadt,,,,,,,,,,x,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Bahnnetz ausbauen,m,38,Innenstadt,x,,,,x,,x,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,ÖPNV zuverlässiger machen,m,38,Innenstadt,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
